Season,Round,Home Team,Away Team,Home Goals,Away Goals,Home FH Goals,Away FH Goals
5,15,Milan,Fiorentina,6,0,2,0
5,15,Livorno,Parma,2,0,1,0
5,15,Brescia,Roma,0,1,0,0
5,15,Bologna,Juventus,0,1,0,0
5,15,Reggina,Cagliari,3,2,1,1
5,15,Siena,Inter,2,2,1,1
5,15,Sampdoria,Messina,1,0,1,0
5,16,Juventus,Milan,0,0,0,0
5,16,Inter,Brescia,1,0,1,0
5,16,Roma,Parma,5,1,2,1
5,16,Fiorentina,Chievo,2,0,1,0
5,16,Lecce,Sampdoria,1,4,0,1
5,16,Bologna,Reggina,2,0,1,0
5,16,Udinese,Lazio,3,0,3,0
5,16,Palermo,Cagliari,3,0,3,0
5,16,Siena,Livorno,1,1,1,0
5,17,Chievo,Siena,1,3,0,1
5,17,Milan,Lecce,5,2,2,0
5,17,Livorno,Inter,0,2,0,1
5,17,Parma,Juventus,1,1,0,0
5,17,Atalanta,Fiorentina,1,0,0,0
5,17,Brescia,Bologna,1,1,0,1
5,17,Cagliari,Messina,2,1,0,1
5,17,Reggina,Palermo,1,0,1,0
5,17,Sampdoria,Udinese,2,0,0,0
5,17,Lazio,Roma,3,1,1,0
5,18,Inter,Sampdoria,3,2,0,1
5,18,Messina,Brescia,2,0,1,0
5,18,Roma,Atalanta,2,1,1,0
5,18,Fiorentina,Lazio,2,3,1,1
5,18,Lecce,Reggina,1,1,1,1
5,18,Juventus,Livorno,4,2,2,1
5,18,Bologna,Chievo,3,1,1,0
5,18,Udinese,Cagliari,2,0,1,0
5,18,Palermo,Milan,0,0,0,0
5,18,Siena,Parma,0,1,0,1
5,19,Brescia,Fiorentina,1,1,0,0
5,19,Reggina,Inter,0,0,0,0
5,19,Chievo,Roma,2,2,2,1
5,19,Milan,Udinese,3,1,1,1
5,19,Livorno,Messina,3,1,0,0
5,19,Parma,Lecce,2,1,0,0
5,19,Atalanta,Siena,1,1,1,1
5,19,Cagliari,Juventus,1,1,0,0
5,19,Sampdoria,Bologna,0,0,0,0
5,19,Lazio,Palermo,1,3,1,1
5,16,Messina,Atalanta,1,0,0,0
5,20,Inter,Chievo,1,1,0,0
5,20,Bologna,Cagliari,1,0,0,0
5,20,Livorno,Milan,1,0,1,0
5,20,Messina,Parma,1,0,0,0
5,20,Fiorentina,Roma,1,2,1,1
5,20,Lecce,Atalanta,1,0,1,0
5,20,Juventus,Brescia,2,0,2,0
5,20,Udinese,Reggina,0,2,0,1
5,20,Siena,Palermo,0,0,0,0
5,20,Lazio,Sampdoria,1,2,0,2
5,21,Chievo,Livorno,1,0,1,0
5,21,Parma,Udinese,1,0,1,0
5,21,Milan,Bologna,0,1,0,1
5,21,Roma,Messina,3,2,0,2
5,21,Atalanta,Juventus,1,2,0,1
5,21,Brescia,Lecce,0,1,0,1
5,21,Cagliari,Fiorentina,1,0,1,0
5,21,Reggina,Lazio,2,1,0,1
5,21,Palermo,Inter,0,2,0,1
5,21,Sampdoria,Siena,1,1,0,0
5,22,Inter,Atalanta,1,0,1,0
5,22,Livorno,Reggina,1,1,0,1
5,22,Messina,Milan,1,4,1,2
5,22,Fiorentina,Palermo,1,2,0,0
5,22,Lecce,Roma,1,1,0,0
5,22,Juventus,Sampdoria,0,1,0,1
5,22,Udinese,Chievo,3,0,0,0
5,22,Siena,Cagliari,2,2,2,0
5,22,Lazio,Brescia,0,0,0,0
5,22,Bologna,Parma,3,1,0,0
5,23,Palermo,Juventus,1,0,1,0
5,23,Sampdoria,Fiorentina,3,0,2,0
5,23,Chievo,Messina,1,0,1,0
5,23,Milan,Lazio,2,1,0,0
5,23,Parma,Inter,2,2,1,0
5,23,Roma,Bologna,1,1,1,0
5,23,Atalanta,Livorno,1,0,1,0
5,23,Brescia,Udinese,0,1,0,0
5,23,Cagliari,Lecce,3,1,1,1
5,23,Reggina,Siena,3,3,1,2
5,24,Inter,Roma,2,0,1,0
5,24,Lazio,Atalanta,2,1,1,1
5,24,Livorno,Sampdoria,1,0,0,0
5,24,Fiorentina,Parma,2,1,0,0
5,24,Lecce,Chievo,3,0,1,0
5,24,Brescia,Cagliari,2,0,1,0
5,24,Juventus,Udinese,2,1,1,0
5,24,Bologna,Palermo,1,1,0,1
5,24,Reggina,Milan,0,1,0,1
5,24,Siena,Messina,2,2,0,1
5,25,Milan,Cagliari,1,0,0,0
5,25,Messina,Juventus,0,0,0,0
5,25,Udinese,Inter,1,1,0,0
5,25,Chievo,Lazio,0,1,0,0
5,25,Parma,Brescia,2,1,1,0
5,25,Roma,Livorno,3,0,1,0
5,25,Atalanta,Bologna,2,0,1,0
5,25,Palermo,Lecce,3,2,2,1
5,25,Siena,Fiorentina,1,0,1,0
5,25,Sampdoria,Reggina,3,2,2,0
5,26,Fiorentina,Udinese,2,2,2,1
5,26,Brescia,Sampdoria,0,1,0,0
5,26,Inter,Milan,0,1,0,0
5,26,Lecce,Messina,1,0,0,0
5,26,Juventus,Siena,3,0,1,0
5,26,Cagliari,Atalanta,3,3,2,1
5,26,Bologna,Livorno,0,0,0,0
5,26,Reggina,Chievo,1,0,1,0
5,26,Palermo,Roma,2,0,0,0
5,26,Lazio,Parma,2,0,1,0
5,27,Roma,Juventus,1,2,1,2
5,27,Atalanta,Milan,1,2,0,0
5,27,Inter,Lecce,2,1,1,1
5,27,Livorno,Palermo,2,2,0,1
5,27,Parma,Cagliari,3,2,2,1
5,27,Messina,Lazio,1,0,1,0
5,27,Fiorentina,Reggina,2,1,0,0
5,27,Udinese,Bologna,0,1,0,1
5,27,Siena,Brescia,2,3,0,2
5,27,Sampdoria,Chievo,1,0,0,0
5,28,Lecce,Fiorentina,2,2,2,0
5,28,Lazio,Inter,1,1,1,0
5,28,Chievo,Juventus,0,1,0,0
5,28,Milan,Sampdoria,1,0,0,0
5,28,Atalanta,Parma,1,0,0,0
5,28,Brescia,Livorno,2,3,1,0
5,28,Cagliari,Roma,3,0,2,0
5,28,Bologna,Siena,1,1,0,0
5,28,Reggina,Messina,0,2,0,2
5,28,Palermo,Udinese,1,5,0,3
5,29,Juventus,Reggina,1,0,0,0
5,29,Siena,Lazio,1,0,0,0
5,29,Chievo,Brescia,3,1,0,1
5,29,Inter,Fiorentina,3,2,1,1
5,29,Livorno,Cagliari,3,3,2,2
5,29,Parma,Palermo,3,3,1,2
5,29,Messina,Bologna,0,0,0,0
5,29,Roma,Milan,0,2,0,0
5,29,Udinese,Lecce,2,1,1,1
5,29,Sampdoria,Atalanta,1,2,1,1
5,30,Milan,Brescia,1,1,1,0
5,30,Fiorentina,Juventus,3,3,2,1
5,30,Bologna,Inter,0,1,0,1
5,30,Atalanta,Chievo,3,0,2,0
5,30,Lecce,Siena,2,2,1,1
5,30,Cagliari,Sampdoria,0,0,0,0
5,30,Reggina,Parma,1,3,0,1
5,30,Udinese,Roma,3,3,2,3
5,30,Palermo,Messina,2,1,0,0
5,30,Lazio,Livorno,3,1,2,0
5,31,Messina,Udinese,1,0,0,0
5,31,Roma,Reggina,1,2,1,0
5,31,Sampdoria,Palermo,1,0,0,0
5,31,Chievo,Parma,2,0,0,0
5,31,Inter,Cagliari,2,0,1,0
5,31,Livorno,Fiorentina,2,0,2,0
5,31,Brescia,Atalanta,1,0,0,0
5,31,Juventus,Lecce,5,2,3,1
5,31,Bologna,Lazio,1,2,1,0
5,31,Siena,Milan,2,1,0,0
5,32,Milan,Chievo,1,0,0,0
5,32,Parma,Sampdoria,1,1,1,1
5,32,Roma,Siena,0,2,0,0
5,32,Fiorentina,Messina,1,1,0,0
5,32,Lecce,Bologna,1,1,1,1
5,32,Juventus,Inter,0,1,0,1
5,32,Cagliari,Lazio,1,1,0,0
5,32,Reggina,Atalanta,0,0,0,0
5,32,Udinese,Livorno,1,1,1,0
5,32,Palermo,Brescia,3,3,2,2
5,33,Milan,Parma,3,0,1,0
5,33,Siena,Udinese,2,3,1,1
5,33,Chievo,Cagliari,1,1,1,0
5,33,Livorno,Lecce,1,0,0,0
5,33,Messina,Inter,2,1,0,0
